source_id,source_name,lat,lon,total_co2_emissions_2024
3900,North Karanpura power station,23.8508,85.0124,5560200.0
447424,VIJJESWARAN-I,16.9335,81.7243,231310.0
447517,BOKARO,23.7829,85.8834,3161400.0
447604,SOUTHERN (CESC),22.5496,88.2915,414086.0
447750,DABHOL,17.5597,73.1664,1744800.0
447756,Durgapur DVC power station,23.5315,87.2499,0.0
447760,INDRAPRASTHA DESU,28.6196,77.2504,225820.0
448111,BHANDER POWER,21.1144,72.6562,401050.0
448179,GACL Dahej Caustic Captive power plant,21.7097,72.6904,164840.0
448180,DHUVARAN,22.2396,72.752,580430.0
448185,UTRAN,21.2285,72.8705,291680.0
448187,BARODA GIPCL,22.3767,73.1013,255180.0
448190,PAGUTHAN,21.78,72.979,368860.0
448195,HPL COGEN,22.0665,88.1029,97412.0
448221,VISAKH (VIZAG) REF,17.7024,83.2326,176760.0
448294,PANIPAT REFINERY,29.4673,76.8754,154300.0
448357,JSW Vijayanagar Toranagallu power station,15.1839,76.6622,1333240.0
448503,GUJARAT CEMENT WORKS,20.8366,70.6917,770680.0
448529,MP Amarkantak power station,23.1621,81.6328,1452718.5
448530,KORBA EAST,22.3834,82.7195,0.0
448540,KHAPERKHEDA,21.2818,79.116,8257000.0
448543,PARAS,20.7147,76.7948,2988100.0
448545,URAN,18.8816,72.9697,540500.0
448553,MANGALORE REFINERY,12.9839,74.8442,98741.0
448606,RAIPUR SPONGE IRON,21.9878,83.2313,300550.0
448672,ANTA,25.1797,76.3188,333110.0
448673,AURAIYA,26.6282,79.5286,546300.0
448675,JHANOR-GANDHAR,21.8242,73.1136,493800.0
448677,KAWAS,21.175,72.6879,411340.0
448679,DADRI,28.603,77.6078,8193500.0
448682,Rihand power station,24.027,82.7915,21731000.0
448749,AGARTALA,23.8698,91.3602,256170.0
448750,KATHALGURI,27.341,95.4064,244620.0
448962,RAMGARH RAJASTHAN,27.3359,70.5375,52186.0
449154,SANGHIPURAM CEMENT,23.4017,68.5708,381490.0
449456,TROMBAY,19.0027,72.8979,2997200.0
449457,JAMSHEDPUR WORKS,22.7874,86.2001,965800.0
449613,ANKALESHWAR CAUSTIC PLANT,21.6387,73.183,49848.0
449620,HARDUAGANJ,28.0175,78.13,5483300.0
449787,DHOLPUR,26.7018,77.8479,271390.0
449800,KOCHI-KERALA,10.0745,76.3191,157200.0
449808,KONDAPALLI,16.64,80.5504,1177680.0
449831,Bokaro Steel City Thermal Power Station,23.6859,86.0929,2160700.0
449922,FARIDABAD NTPC,28.3465,77.359,353100.0
449995,Vizag Steel Plant power station,17.6065,83.1967,1884900.0
450003,GURU GOBIND SINGH RF,29.9265,74.9609,55588.0
450035,CHANDERIA SMELTER,24.9632,74.6685,1327080.0
450038,PIPAVAV GSPC,20.8986,71.4693,559080.0
450121,Raigarh Jindal power station,21.925,83.3454,1599100.0
450166,HAZIRA GSEG,21.1652,72.6613,410310.0
450168,LALKUA MILL,29.0665,79.5189,482030.0
450172,KAGITHAPURAM MILL,11.0529,77.9958,569920.0
450186,VALUTHUR,9.3484,78.9235,156990.0
450196,THIRUMAKOTAI,10.5415,79.4507,87299.0
450199,PRAGATI,28.6146,77.2528,263290.0
450200,SAMALKOT,17.0387,82.1379,177380.0
450255,BHIGWAN MILL,18.2422,74.7526,212660.0
450256,SHIROL MILL,16.7491,74.5849,201.98
450334,KARUPPUR,11.1208,79.529,91029.0
450409,MONARCHAK,23.438,91.274,81288.0
450458,Palamau Plant power station,24.229,83.8858,340240.0
450511,EAST GODAVARI MILL,17.0299,81.7725,289200.0
450602,DUBURI STEEL PLANT,20.9602,86.0503,1429700.0
450633,ARKAY VALANTHARVI,9.3279,78.9215,383950.0
450634,KONASEEMA,16.7346,81.8622,353310.0
450635,KUTTALAM,11.0343,79.5852,75909.0
450638,AMBUJANAGAR CEMENT,20.8355,70.6955,520470.0
450656,PRAKASH CHAMPA,21.9962,82.6701,299360.0
450686,PRAGATI-III,28.7962,77.0709,1233490.0
450724,PALATANA,23.4987,91.4385,586410.0
450746,SAI REGENCY,9.3656,78.8951,104591.0
450926,MIHAN Power Project,21.0377,78.9334,0.0
450997,PANIPAT CRACKER,29.4556,76.858,188840.0
450999,GODAWARI SILTARA,21.375,81.6814,237890.0
451041,Zawar Mines power station,24.3499,73.7482,455700.0
451166,Kota Complex power station,25.1286,75.8835,712110.0
451202,Salem Siscol power station,11.814,77.9191,179620.0
451247,RITHALA POWER,28.7327,77.1016,116142.0
451549,Aditya Aluminium power station,21.7401,84.0606,5111900.0
451611,RAIPUR JAIN,21.3119,81.6131,368600.0
451613,Siltara SKS power station,21.3914,81.6464,348150.0
451683,VIJAYPUR COMPLEX,16.4995,75.8346,11331800.0
451704,BALLARPUR BILT POWER,19.8605,79.3394,382790.0
451743,VADINAR POWER,22.3243,69.7377,1977900.0
451815,KASHIPUR GAMA,29.1417,78.9635,175480.0
451816,MARUTI MANESAR,28.3669,76.8952,126364.0
451850,NAGAI POWER,10.8241,79.7538,850630.0
451873,KASHIPUR SRAVANTHI,29.1547,78.974,370050.0
451937,RAIPUR NECO,21.344,81.6726,334580.0
451940,Rawan Cement power station,24.7649,74.6096,174180.0
452077,DAHEJ OPAL,21.6934,72.6243,180300.0
452142,BCPL Captive power plant,27.371,94.8808,82776.0
452210,Katghora power station,22.4872,82.6266,0.0
452253,MANIKGARH CEMENT,19.7212,79.1746,425310.0
452311,Balaji Cement power station,16.8705,80.022,204540.0
452316,JSW Tarapur power station,19.7945,72.7405,212660.0
452394,Vizag Simhadri power station,17.6369,83.1931,293020.0
452536,Lakwa Replacement power station,26.9852,94.9298,105096.0
452613,LOKMANGAL SUGAR ETHANOL,17.4474,75.7161,0.0
452715,YELAHANKA GAS,13.1176,77.5819,296170.0
452812,HAZIRA RELIANCE,21.1592,72.6871,2435800.0
452896,Matix Fertilisers Captive power plant,23.4448,87.4915,67560.0
453065,GACL-NALCO Dahej Caustic captive power station,21.7102,72.6904,738210.0
453066,BHUSHAN RENGALI,21.7705,84.019,2982200.0
714506,Chandrapura power station,23.7413,86.1202,3381400.0
714936,BHATAPARA CEMENT PLANT,21.67,82.0834,358610.0
